Micro_Expression_Rate,Eye_Movement_Variability,Heart_Rate_Variability,Breathing_Rate,Reaction_Time_ms,Error_Rate_Per_Task,Sleep_Hours_Last_Night,Caffeine_Intake_mg,Experience_Level,Time_Of_Day,Task_Type,Subconscious_Stability_Score
18.7,34.1,71.3,15.7,280.5,4.1,7.3,54.3,Intermediate,Morning,Cognitive,93.7
14.1,42.9,,15.1,351.8,3.4,7.4,120.5,Intermediate,Morning,Creative,80.6
17.4,29.6,46.0,10.0,320.5,3.5,6.8,,Beginner,Morning,Cognitive,71.9
10.2,30.1,67.4,21.1,387.9,6.6,7.2,151.0,Beginner,Morning,Analytical,77.3
21.9,28.4,58.7,12.9,327.2,5.0,8.2,17.9,Expert,Morning,Creative,89.8
20.1,27.3,72.0,17.6,614.0,5.4,8.1,263.0,Intermediate,Morning,Analytical,59.6
7.4,23.9,68.3,14.6,232.0,3.3,6.9,135.6,Intermediate,Evening,Analytical,86.1
11.8,30.5,42.5,13.5,298.1,5.6,5.4,93.6,Intermediate,Morning,Creative,72.4
16.9,32.1,73.2,15.3,306.6,4.6,6.7,188.2,Beginner,Morning,Analytical,80.7
9.7,32.5,79.0,14.9,278.7,4.4,,147.1,Beginner,Afternoon,Creative,77.0
14.5,30.4,70.3,15.4,396.3,3.2,5.2,68.6,Intermediate,Evening,Analytical,78.9
16.7,35.6,70.7,13.6,223.5,4.5,7.9,148.1,Beginner,Afternoon,Cognitive,85.2
14.3,30.2,57.5,13.0,314.3,8.2,7.5,6.8,Beginner,Morning,Cognitive,79.5
17.2,27.5,55.2,19.0,376.6,5.2,5.6,91.3,Expert,Afternoon,Cognitive,81.8
,24.4,62.1,16.0,358.2,7.4,6.5,95.4,Expert,Afternoon,Creative,80.0
6.0,20.7,69.2,15.8,301.0,0.2,7.5,159.7,Intermediate,Afternoon,Analytical,81.6
18.9,38.8,68.9,13.3,275.0,4.1,7.4,302.4,Expert,Afternoon,Analytical,89.7
18.9,25.8,55.6,20.7,374.6,5.6,7.7,,Beginner,Evening,Cognitive,74.4
25.0,24.4,54.6,15.7,293.9,4.8,5.9,207.9,Expert,Evening,Cognitive,67.2
6.2,27.5,45.1,10.3,278.5,5.0,7.5,201.5,Beginner,Afternoon,Creative,74.5
18.0,28.3,66.5,16.8,370.0,3.2,6.9,40.2,Expert,Afternoon,Creative,65.1
7.1,39.8,56.1,13.7,335.4,6.4,,200.3,Expert,Afternoon,Analytical,85.2
22.0,28.0,57.0,18.7,302.4,0.8,,,Intermediate,Evening,Creative,77.0
17.0,45.8,77.3,19.1,336.3,3.7,11.5,120.6,Expert,Morning,Creative,85.3
11.2,30.4,66.0,18.8,342.3,4.2,9.0,257.8,Intermediate,Evening,Creative,83.3
18.1,42.3,63.2,14.6,317.3,2.9,7.2,151.0,Beginner,Morning,Cognitive,76.5
12.8,35.4,,15.7,327.7,4.1,6.9,81.4,Intermediate,Afternoon,Cognitive,89.1
16.2,32.2,74.2,16.7,211.9,0.1,5.6,146.7,Intermediate,Evening,Analytical,100.0
15.8,39.5,43.8,18.7,314.7,1.4,5.6,28.2,Beginner,Morning,Creative,69.3
22.0,36.7,,12.9,288.0,6.5,7.4,183.7,Intermediate,Afternoon,Cognitive,70.4
22.3,33.8,57.7,16.3,280.0,4.5,7.5,81.4,Expert,Morning,Creative,91.2
12.6,43.9,50.2,21.6,285.8,3.2,11.0,-27.5,Beginner,Afternoon,Analytical,80.4
19.2,27.0,57.3,14.4,295.2,6.0,5.9,98.4,Intermediate,Morning,Creative,68.8
16.4,24.0,44.5,15.9,305.1,6.8,5.8,89.2,Expert,Afternoon,Analytical,75.1
9.3,25.9,69.2,23.8,328.3,7.6,7.4,149.9,Expert,Afternoon,Analytical,92.9
12.2,40.5,54.8,15.3,283.3,0.2,6.2,50.8,Expert,Evening,Cognitive,89.5
24.3,38.7,62.0,11.4,345.9,6.8,7.6,140.9,Intermediate,Evening,Creative,72.4
16.4,26.8,60.5,15.8,356.8,1.7,6.3,79.2,Expert,Morning,Cognitive,87.6
19.0,15.9,65.6,21.0,356.3,4.6,6.6,115.8,Intermediate,Afternoon,Creative,69.9
14.2,28.8,35.4,19.2,366.8,5.2,7.6,184.0,Beginner,Morning,Creative,61.2
12.8,23.9,64.5,13.1,291.6,7.2,6.1,185.9,Intermediate,Morning,Analytical,85.2
15.1,27.0,57.2,17.2,306.5,4.9,6.5,196.5,Intermediate,Morning,Analytical,83.6
13.9,23.7,64.1,15.5,332.3,4.6,7.8,74.3,Beginner,Evening,Creative,76.9
9.0,20.3,48.2,18.4,298.8,2.3,7.1,137.8,Intermediate,Evening,Cognitive,77.5
11.0,41.3,64.1,14.2,262.1,0.6,6.0,140.4,Intermediate,Morning,Analytical,84.7
17.8,25.9,73.0,17.5,294.9,2.3,6.3,195.1,Beginner,Morning,Analytical,76.7
,38.5,61.9,21.7,401.7,6.8,8.6,100.3,Intermediate,Morning,Creative,82.8
15.1,28.7,52.8,8.2,282.8,4.1,7.5,30.7,Intermediate,Afternoon,Creative,87.3
15.9,23.2,53.3,17.8,280.3,7.3,6.5,170.9,Intermediate,Afternoon,Analytical,69.5
16.3,33.1,65.8,20.0,292.7,2.6,8.3,200.5,Beginner,Morning,Cognitive,87.6
19.6,27.7,65.7,11.3,347.8,5.6,7.7,139.0,Beginner,Evening,Analytical,69.2
10.6,28.8,63.6,13.8,337.4,4.3,9.0,54.4,Beginner,Morning,Creative,84.6
17.3,30.9,59.6,14.8,355.3,6.6,8.3,,Expert,Evening,Analytical,74.3
18.0,25.1,62.0,13.8,446.6,3.6,8.7,127.2,Beginner,Afternoon,Creative,67.8
18.9,20.3,59.4,13.6,361.1,3.7,6.5,80.4,Intermediate,Afternoon,Analytical,78.5
9.3,29.7,56.2,14.9,365.0,6.4,5.7,185.8,Beginner,Evening,Creative,63.3
16.0,35.8,67.6,18.6,463.0,-0.2,8.2,219.9,Beginner,Evening,Creative,73.4
21.9,24.6,63.1,20.5,344.5,3.7,8.2,23.6,Expert,Morning,Cognitive,85.9
14.6,30.9,72.9,19.9,300.4,0.7,6.8,152.3,Intermediate,Morning,Creative,89.5
16.9,39.0,71.2,19.0,304.9,3.9,5.4,,Beginner,Evening,Analytical,70.4
,29.5,62.8,21.5,372.8,3.2,7.5,113.8,Intermediate,Morning,Creative,83.8
10.9,30.5,,22.1,257.4,5.2,7.6,128.9,Beginner,Morning,Analytical,83.6
22.3,30.3,50.4,16.5,222.7,4.9,5.0,112.2,Intermediate,Afternoon,Cognitive,77.6
17.0,25.9,59.2,20.3,278.9,3.4,7.6,,Intermediate,Evening,Analytical,72.0
17.1,24.0,63.4,17.3,361.0,2.1,8.7,53.8,Beginner,Evening,Cognitive,69.1
8.4,24.1,44.2,15.4,349.6,4.2,5.0,104.5,Beginner,Evening,Cognitive,65.4
18.2,32.2,64.3,15.9,312.0,6.6,7.8,248.9,Beginner,Afternoon,Creative,66.2
17.0,34.5,50.4,19.0,373.5,2.0,9.0,82.8,Expert,Morning,Cognitive,79.5
21.5,34.8,51.5,20.4,350.4,1.0,9.1,27.5,Expert,Afternoon,Analytical,91.1
13.8,27.7,54.7,17.7,337.2,0.3,4.2,119.4,Beginner,Evening,Cognitive,64.4
11.0,36.6,59.7,14.8,319.1,0.9,,184.8,Intermediate,Morning,Cognitive,85.1
12.3,31.8,46.7,14.5,364.8,4.0,6.5,117.7,Beginner,Morning,Creative,70.4
13.0,30.4,68.6,10.4,357.8,1.2,6.4,90.9,Beginner,Morning,Analytical,80.4
,10.0,61.8,17.1,306.3,3.3,10.8,150.0,Intermediate,Afternoon,Cognitive,86.8
20.2,25.1,79.2,16.9,360.7,4.9,7.3,269.4,Expert,Evening,Creative,81.6
20.3,20.9,63.0,12.9,287.3,-0.3,6.4,104.6,Expert,Afternoon,Creative,75.6
14.2,33.8,65.7,17.4,331.7,6.0,8.2,,Intermediate,Evening,Analytical,76.3
13.4,30.6,51.5,17.4,340.0,6.9,9.5,144.8,Beginner,Morning,Creative,74.0
,23.6,48.2,11.5,303.2,7.7,7.3,68.1,Intermediate,Evening,Cognitive,76.7
17.8,31.8,66.2,15.0,326.7,6.9,6.2,219.8,Beginner,Evening,Creative,70.8
21.6,21.5,49.1,20.2,350.4,8.8,7.1,99.1,Intermediate,Morning,Analytical,75.9
12.5,23.7,,14.1,265.9,4.5,8.6,26.5,Beginner,Evening,Analytical,79.6
14.5,25.7,77.1,16.1,329.2,5.6,6.5,137.6,Intermediate,Morning,Creative,90.7
16.7,33.2,69.5,16.5,430.7,3.5,8.6,92.1,Beginner,Evening,Cognitive,68.5
21.9,38.4,65.7,15.9,278.7,5.3,6.8,228.9,Beginner,Evening,Creative,79.8
15.8,26.5,62.7,18.1,371.5,4.3,4.2,144.3,Expert,Evening,Analytical,70.4
15.8,37.9,56.2,18.8,315.2,0.7,9.3,87.9,Beginner,Afternoon,Creative,76.8
15.7,30.3,58.9,19.8,379.1,1.0,7.5,172.1,Intermediate,Morning,Creative,88.6
9.3,31.4,54.3,15.1,283.8,7.6,8.6,120.2,Beginner,Afternoon,Cognitive,80.1
9.2,29.6,46.8,17.6,320.3,4.3,7.5,139.5,Beginner,Afternoon,Creative,87.8
11.8,28.8,60.4,18.5,430.5,6.8,7.1,-23.0,Beginner,Evening,Cognitive,74.0
19.1,32.6,71.1,15.6,311.3,2.9,8.1,50.9,Beginner,Evening,Creative,74.1
13.7,34.4,47.1,13.8,351.7,2.2,6.8,,Expert,Evening,Creative,77.3
12.9,24.7,74.0,16.4,349.7,3.8,9.7,43.1,Beginner,Morning,Cognitive,90.8
12.8,28.9,72.2,14.2,218.6,5.6,7.0,84.3,Expert,Evening,Cognitive,87.6
14.4,40.0,64.0,13.9,342.3,6.8,9.7,,Intermediate,Evening,Analytical,74.1
21.8,31.1,64.1,16.7,258.1,4.4,7.9,151.0,Intermediate,Evening,Cognitive,76.4
14.4,31.7,58.1,15.4,351.6,5.3,3.4,190.0,Intermediate,Morning,Creative,75.6
11.9,37.0,60.4,16.5,325.9,3.7,5.5,120.8,Intermediate,Morning,Analytical,74.8
15.1,27.0,55.4,11.3,264.2,6.9,8.3,79.1,Intermediate,Morning,Cognitive,81.5
22.0,29.8,60.3,15.5,260.5,6.9,5.6,204.7,Beginner,Afternoon,Cognitive,65.4
13.0,34.9,,9.2,316.4,2.4,5.0,122.8,Beginner,Afternoon,Analytical,71.8
10.3,37.4,78.8,12.9,444.1,4.8,8.9,55.8,Expert,Evening,Creative,81.1
13.0,15.8,,15.7,401.2,2.0,4.6,218.0,Expert,Afternoon,Creative,70.6
15.5,25.6,57.9,19.6,338.0,5.6,8.2,124.1,Expert,Morning,Analytical,92.8
17.8,24.0,,17.6,345.8,3.2,6.5,178.8,Intermediate,Afternoon,Creative,84.4
19.0,29.3,52.9,16.3,350.1,2.4,8.1,137.7,Intermediate,Evening,Cognitive,78.5
10.8,24.5,54.5,14.9,488.7,-0.1,7.4,313.0,Intermediate,Evening,Creative,59.1
,34.0,69.1,15.2,285.4,6.2,3.9,158.7,Intermediate,Evening,Cognitive,88.2
13.7,31.0,,19.9,362.6,4.4,6.5,101.8,Beginner,Afternoon,Creative,62.4
17.7,35.3,53.8,12.7,289.9,4.5,6.6,98.2,Intermediate,Afternoon,Cognitive,80.3
,35.7,54.1,13.8,392.0,5.7,,162.8,Beginner,Evening,Analytical,73.3
12.6,34.1,52.7,19.2,252.3,2.5,7.5,126.9,Beginner,Afternoon,Cognitive,79.3
12.6,28.0,71.3,15.0,274.9,2.2,6.6,119.6,Expert,Morning,Creative,89.3
18.8,30.6,61.4,21.8,390.8,5.1,5.3,94.0,Beginner,Morning,Cognitive,68.1
17.1,27.2,57.2,18.1,305.7,6.3,7.7,103.9,Beginner,Morning,Creative,70.6
18.6,21.8,60.3,19.5,313.9,5.1,8.3,29.5,Beginner,Afternoon,Creative,68.0
20.4,35.7,62.2,11.1,352.3,7.2,7.5,150.6,Expert,Morning,Cognitive,74.6
,29.5,52.5,19.2,377.9,5.1,,81.6,Intermediate,Morning,Creative,79.0
10.3,21.0,46.1,13.5,350.5,5.0,6.4,126.6,Intermediate,Morning,Analytical,73.6
10.3,33.2,73.4,18.1,334.4,5.6,5.6,116.2,Expert,Afternoon,Creative,92.2
7.6,28.7,69.9,14.9,360.0,3.5,7.4,131.9,Expert,Afternoon,Analytical,80.0
13.2,17.6,63.8,16.7,340.5,1.5,7.3,122.0,Beginner,Afternoon,Analytical,84.7
13.5,21.8,69.2,12.7,374.3,4.0,8.3,147.3,Intermediate,Morning,Creative,84.7
18.2,25.8,79.1,10.8,462.8,5.4,6.1,67.3,Intermediate,Morning,Analytical,83.3
15.1,31.3,54.6,16.5,345.3,2.3,7.2,115.7,Intermediate,Afternoon,Analytical,77.1
13.0,34.7,48.8,15.1,277.0,1.2,5.0,121.7,Beginner,Morning,Cognitive,80.9
14.5,34.5,66.6,13.3,371.9,2.5,6.5,68.4,Expert,Morning,Analytical,91.8
10.8,33.6,45.3,11.0,312.7,6.7,6.2,61.1,Intermediate,Morning,Analytical,79.9
19.1,29.8,60.4,8.0,336.9,5.0,8.6,85.9,Beginner,Evening,Analytical,70.0
11.9,40.3,57.0,17.6,338.3,3.7,9.6,130.5,Intermediate,Afternoon,Analytical,77.3
10.4,34.2,66.7,15.2,290.9,2.1,5.2,,Beginner,Morning,Analytical,80.1
18.3,31.3,55.2,14.2,301.5,4.6,8.4,176.5,Beginner,Morning,Creative,70.6
,33.4,,16.6,204.6,4.4,8.0,83.3,Intermediate,Evening,Analytical,92.2
8.1,27.6,52.5,19.0,314.9,4.9,6.2,119.5,Beginner,Afternoon,Creative,67.0
18.4,29.7,67.1,16.8,534.7,9.0,5.9,251.0,Intermediate,Afternoon,Creative,66.1
12.0,17.5,53.3,14.7,320.7,5.0,5.9,31.5,Intermediate,Afternoon,Creative,76.8
13.5,27.7,65.5,22.4,297.0,2.6,6.4,201.9,Beginner,Evening,Cognitive,67.4
,40.6,49.9,14.1,338.9,1.2,6.5,67.1,Expert,Evening,Cognitive,81.1
17.3,30.9,59.8,11.8,272.9,2.9,6.8,,Beginner,Afternoon,Creative,71.0
16.8,30.6,73.2,16.3,267.1,3.1,6.2,151.2,Beginner,Afternoon,Cognitive,75.2
14.8,36.0,,15.2,346.3,5.7,8.2,11.7,Beginner,Morning,Analytical,80.6
13.3,32.1,71.8,18.8,349.0,2.8,7.8,110.9,Beginner,Evening,Creative,70.4
16.6,25.3,59.7,14.4,345.6,2.0,6.7,73.0,Beginner,Afternoon,Creative,75.5
14.5,30.1,54.9,15.5,305.0,5.1,6.2,218.5,Intermediate,Morning,Creative,73.3
22.2,23.2,61.7,13.4,374.7,2.8,6.2,132.6,Expert,Evening,Cognitive,72.1
17.3,31.1,66.2,18.4,263.8,5.2,7.7,3.7,Beginner,Evening,Cognitive,72.2
11.3,25.0,40.9,16.4,305.1,2.3,7.1,195.7,Intermediate,Evening,Cognitive,74.8
13.1,35.6,,15.2,357.4,3.1,7.3,153.0,Intermediate,Evening,Analytical,69.0
15.2,26.9,50.6,15.6,363.0,2.8,8.3,144.9,Expert,Evening,Cognitive,79.9
20.2,25.1,48.1,15.9,281.4,4.8,6.9,121.4,Intermediate,Morning,Creative,79.8
20.6,29.3,65.4,11.7,427.1,3.7,9.1,34.8,Beginner,Evening,Cognitive,64.0
13.4,32.2,73.4,19.5,313.5,1.6,4.0,214.9,Beginner,Evening,Cognitive,65.5
11.3,22.8,62.2,19.3,324.4,1.4,5.0,105.6,Intermediate,Morning,Cognitive,76.5
10.8,26.9,46.4,16.1,368.9,3.4,9.7,206.4,Expert,Morning,Cognitive,83.3
16.0,30.6,53.3,15.8,397.6,1.2,6.4,120.9,Beginner,Evening,Creative,65.6
24.2,38.0,55.8,13.0,323.1,3.2,7.4,108.6,Beginner,Morning,Cognitive,71.3
17.2,14.8,62.0,21.2,378.7,4.5,8.9,16.3,Expert,Evening,Creative,87.0
8.6,33.7,59.3,20.5,297.2,1.6,7.5,77.5,Expert,Morning,Cognitive,86.7
12.1,27.7,65.0,17.2,403.4,5.7,8.4,199.3,Expert,Morning,Analytical,85.4
,27.0,,18.5,321.9,6.8,7.9,163.3,Intermediate,Afternoon,Analytical,79.7
11.7,25.9,63.4,19.7,335.7,6.2,8.5,151.5,Beginner,Morning,Creative,75.0
13.4,27.8,69.0,19.1,302.7,5.3,7.7,155.5,Intermediate,Afternoon,Creative,80.9
16.5,33.7,57.3,13.4,330.8,4.8,8.1,120.2,Intermediate,Afternoon,Analytical,69.2
17.7,26.8,93.0,15.1,283.5,4.5,6.1,91.8,Beginner,Morning,Analytical,75.5
19.4,40.0,65.5,17.4,316.9,4.7,7.8,72.1,Intermediate,Morning,Cognitive,85.6
,33.7,66.8,16.6,320.9,2.8,6.9,92.5,Intermediate,Afternoon,Analytical,82.8
7.2,31.2,77.6,18.3,267.2,3.9,6.9,128.5,Beginner,Morning,Creative,84.7
10.8,29.0,60.9,17.9,291.4,4.3,4.5,73.7,Intermediate,Evening,Creative,75.8
14.4,37.1,53.5,16.7,215.0,5.3,6.4,121.0,Intermediate,Afternoon,Analytical,72.4
15.6,38.0,73.1,8.2,258.0,0.8,6.8,124.7,Expert,Morning,Creative,93.7
18.4,23.0,73.7,19.5,319.3,4.4,9.3,109.1,Beginner,Afternoon,Cognitive,74.8
15.2,25.8,,18.5,368.0,6.1,,21.4,Beginner,Morning,Cognitive,70.9
15.2,33.8,77.6,22.2,302.2,2.8,7.4,56.9,Intermediate,Morning,Analytical,84.7
16.0,35.6,59.2,14.6,671.9,3.8,9.1,,Beginner,Morning,Creative,56.4
14.0,28.2,69.3,10.5,378.1,0.3,5.1,-8.2,Intermediate,Evening,Analytical,77.8
,25.5,,15.5,361.7,4.1,6.4,181.5,Intermediate,Evening,Creative,68.8
19.5,30.5,61.0,17.4,360.9,1.0,8.3,198.0,Beginner,Evening,Creative,75.8
14.7,38.9,64.6,14.7,326.0,2.9,10.7,171.1,Intermediate,Morning,Creative,84.2
14.9,30.2,70.3,20.1,295.5,3.9,4.0,136.9,Intermediate,Morning,Cognitive,88.9
14.9,22.4,56.3,14.0,339.8,2.8,6.8,46.0,Beginner,Afternoon,Creative,67.7
,30.7,51.9,15.7,384.1,3.7,7.9,138.4,Expert,Afternoon,Cognitive,83.7
10.6,34.7,73.3,15.3,410.4,4.7,8.3,204.3,Expert,Evening,Creative,76.3
22.1,29.4,63.1,24.3,440.3,3.9,10.4,52.0,Intermediate,Morning,Analytical,70.3
10.3,37.5,54.9,13.3,396.5,4.3,6.0,273.3,Intermediate,Morning,Cognitive,79.0
12.4,35.2,60.9,17.8,322.2,0.3,6.6,,Intermediate,Afternoon,Cognitive,84.4
18.0,29.6,65.1,12.4,259.9,3.7,4.6,56.4,Expert,Evening,Cognitive,80.0
19.1,30.3,44.3,17.0,350.1,-0.4,7.2,,Intermediate,Evening,Analytical,73.7
9.4,18.9,67.2,13.1,374.8,3.2,7.8,89.7,Intermediate,Afternoon,Cognitive,79.8
10.6,37.3,64.1,19.3,192.3,7.7,10.1,116.8,Expert,Evening,Analytical,98.3
16.1,28.0,76.6,18.7,246.0,5.9,9.6,97.4,Beginner,Afternoon,Creative,82.1
24.4,27.6,57.8,16.8,297.2,1.1,9.3,-48.1,Expert,Evening,Creative,78.1
20.0,26.7,73.8,11.8,281.6,2.9,6.0,41.9,Beginner,Evening,Analytical,83.2
14.0,32.7,59.6,15.8,239.5,3.6,7.6,119.6,Beginner,Evening,Cognitive,77.6
5.3,23.2,61.4,15.1,339.0,5.0,7.6,131.4,Beginner,Morning,Cognitive,85.6
,24.1,62.8,18.5,382.1,5.7,7.7,174.1,Expert,Morning,Analytical,89.2
16.4,29.7,80.9,13.3,310.6,7.3,6.9,80.1,Expert,Afternoon,Creative,82.7
13.5,26.2,47.6,19.5,237.0,2.1,8.7,129.0,Intermediate,Afternoon,Analytical,88.0
11.6,32.0,65.0,18.9,330.3,4.4,6.5,120.6,Intermediate,Evening,Cognitive,78.5
15.6,26.5,60.4,11.9,264.5,0.5,7.5,69.8,Intermediate,Morning,Cognitive,86.5
11.2,39.6,59.7,15.3,269.6,4.8,,,Expert,Morning,Cognitive,84.0
22.5,34.2,65.8,15.8,368.0,5.0,10.2,148.9,Intermediate,Evening,Cognitive,72.0
21.1,34.1,71.1,19.0,380.0,4.0,5.8,259.1,Beginner,Morning,Creative,69.4
,26.4,65.3,13.9,305.5,5.3,7.8,184.0,Beginner,Morning,Creative,77.9
15.4,44.4,72.4,16.6,356.6,2.3,7.7,27.3,Intermediate,Afternoon,Creative,80.0
12.4,27.4,57.5,19.3,266.3,1.4,8.8,,Intermediate,Afternoon,Cognitive,86.0
14.9,25.7,59.5,16.8,346.5,2.1,9.5,34.1,Beginner,Morning,Cognitive,87.1
21.6,34.2,50.0,10.4,300.8,4.7,6.5,208.5,Beginner,Evening,Cognitive,56.8
18.5,31.2,79.8,14.5,253.7,6.6,6.9,102.3,Expert,Afternoon,Analytical,92.5
15.8,25.1,58.1,18.7,274.6,2.3,7.1,139.0,Beginner,Evening,Cognitive,69.5
18.7,43.2,57.0,18.3,340.5,2.6,7.7,198.9,Intermediate,Afternoon,Creative,73.9
17.2,35.9,66.1,9.3,246.0,4.2,8.2,148.2,Expert,Morning,Creative,87.7
16.6,30.0,71.1,16.6,305.9,10.9,6.4,,Intermediate,Morning,Creative,83.4
18.9,44.4,53.1,18.8,373.4,3.1,9.8,,Beginner,Morning,Analytical,68.2
17.1,34.9,71.9,17.6,295.4,5.9,4.3,64.1,Intermediate,Afternoon,Creative,83.1
18.4,29.9,57.0,18.0,242.9,3.6,5.2,121.7,Expert,Morning,Analytical,94.6
15.6,43.7,74.3,22.2,306.2,2.9,7.9,159.6,Intermediate,Afternoon,Analytical,86.2
14.0,34.0,54.6,15.9,353.9,1.3,6.8,113.9,Expert,Afternoon,Analytical,90.7
12.8,33.7,,16.9,255.1,3.4,6.2,218.5,Beginner,Morning,Cognitive,85.5
12.3,27.7,60.4,13.2,379.4,5.7,8.4,,Intermediate,Morning,Cognitive,77.3
,30.3,,14.1,358.2,2.3,8.2,101.8,Intermediate,Evening,Creative,72.2
11.4,27.5,45.8,15.0,337.5,4.2,8.9,110.7,Expert,Evening,Creative,85.4
11.2,38.6,52.6,18.5,348.9,2.3,5.4,87.0,Beginner,Morning,Analytical,71.6
13.0,20.3,69.9,13.8,326.4,3.2,8.2,148.5,Expert,Morning,Cognitive,78.4
,38.2,40.6,19.7,336.7,1.0,8.2,96.5,Intermediate,Evening,Creative,70.1
14.4,24.7,63.3,12.7,323.6,8.6,5.5,132.0,Beginner,Morning,Creative,71.4
16.0,29.7,62.5,17.9,364.1,4.6,7.1,211.9,Beginner,Evening,Cognitive,61.3
16.1,28.2,43.2,17.7,384.6,3.3,8.5,147.3,Expert,Morning,Analytical,73.7
21.4,26.9,52.0,16.8,279.0,6.6,9.0,116.9,Beginner,Evening,Creative,73.8
12.7,34.1,52.0,19.0,284.9,3.8,6.8,106.8,Beginner,Morning,Creative,80.3
14.1,30.0,60.5,13.8,300.4,4.9,5.4,199.2,Beginner,Evening,Cognitive,70.7
14.6,26.0,74.7,14.6,289.6,7.1,9.3,143.5,Expert,Morning,Cognitive,100.0
19.5,30.9,70.7,13.1,376.7,6.9,7.1,165.5,Intermediate,Afternoon,Analytical,72.0
20.4,25.8,56.4,16.0,245.0,1.7,4.2,85.2,Intermediate,Morning,Analytical,79.6
16.9,26.8,51.7,15.6,347.1,4.0,6.6,40.2,Beginner,Morning,Creative,65.6
19.9,21.0,44.4,18.6,389.3,6.6,8.7,197.0,Intermediate,Evening,Analytical,68.6
15.7,27.3,56.2,17.2,291.1,1.8,5.2,183.9,Intermediate,Afternoon,Creative,82.7
14.3,33.0,51.0,18.1,393.6,3.5,7.2,56.5,Expert,Evening,Creative,66.0
,30.2,59.6,15.4,377.9,3.4,6.5,170.2,Expert,Afternoon,Cognitive,82.1
,40.9,60.0,17.2,302.5,5.0,6.9,202.1,Beginner,Evening,Creative,69.5
12.1,45.7,55.2,21.4,360.9,5.6,,96.7,Intermediate,Afternoon,Cognitive,76.5
19.0,27.2,55.5,12.0,278.7,6.3,7.8,117.3,Beginner,Evening,Creative,63.4
14.2,25.0,53.1,10.5,264.9,4.2,6.7,234.8,Intermediate,Evening,Creative,72.0
13.7,36.8,54.9,17.9,296.8,1.9,8.0,195.7,Beginner,Morning,Creative,78.9
18.6,32.0,74.4,13.5,387.5,3.3,6.4,76.0,Beginner,Evening,Analytical,84.8
14.6,36.8,65.2,11.9,576.8,1.9,8.7,147.6,Beginner,Evening,Analytical,65.0
16.6,32.4,65.3,17.6,322.1,2.6,7.0,106.2,Intermediate,Morning,Cognitive,88.5
17.6,28.8,70.1,13.0,269.8,5.4,5.2,135.7,Beginner,Afternoon,Creative,83.3
11.9,28.9,69.2,20.6,363.3,1.1,5.7,151.8,Intermediate,Morning,Cognitive,75.1
16.5,32.6,74.2,16.5,361.6,2.9,5.3,44.9,Intermediate,Evening,Cognitive,79.6
20.4,28.7,65.9,15.4,284.8,5.8,5.3,83.5,Beginner,Morning,Creative,70.4
11.2,37.3,62.1,13.5,204.1,5.4,5.0,7.8,Intermediate,Morning,Analytical,97.4
16.8,22.2,54.1,16.6,301.9,2.4,5.4,165.7,Beginner,Afternoon,Analytical,72.6
11.7,37.3,51.8,11.2,342.1,2.2,7.0,123.2,Intermediate,Afternoon,Cognitive,78.1
,18.8,68.8,8.6,319.3,7.2,,106.8,Intermediate,Evening,Analytical,90.7
19.0,30.9,58.9,11.3,324.0,4.7,5.0,94.3,Beginner,Evening,Creative,72.6
13.6,28.0,46.4,19.4,337.5,2.4,,110.4,Beginner,Afternoon,Creative,71.2
23.8,20.9,39.1,13.2,294.5,3.9,8.2,144.5,Beginner,Morning,Analytical,65.6
,17.6,81.5,11.7,257.2,6.2,6.8,48.6,Expert,Afternoon,Analytical,84.4
17.8,23.4,50.1,15.7,357.0,2.2,4.4,,Intermediate,Afternoon,Cognitive,71.8
17.6,30.3,53.1,22.7,275.8,2.2,7.1,58.9,Intermediate,Afternoon,Analytical,85.8
18.9,26.4,72.3,19.3,259.9,4.4,7.5,-34.3,Intermediate,Morning,Cognitive,94.8
11.0,23.8,47.9,13.6,345.0,1.3,7.5,226.8,Beginner,Afternoon,Creative,65.7
15.8,38.1,65.3,13.5,264.7,2.7,10.4,160.8,Intermediate,Morning,Creative,80.3
16.5,22.6,78.2,13.6,279.1,3.1,5.9,71.3,Intermediate,Evening,Creative,88.8
13.4,34.1,81.1,13.3,399.0,-1.3,8.7,134.3,Beginner,Afternoon,Analytical,79.6
16.9,24.7,55.5,17.6,399.4,4.2,7.0,50.1,Beginner,Evening,Analytical,71.3
,23.3,,15.0,379.6,5.2,7.7,,Beginner,Afternoon,Analytical,71.9
13.3,26.4,56.0,12.7,358.0,7.9,6.0,264.1,Intermediate,Morning,Cognitive,70.8
14.8,33.7,59.8,12.0,377.8,5.2,6.0,177.2,Expert,Evening,Cognitive,78.4
,21.8,73.0,22.9,418.1,1.9,5.1,1.2,Beginner,Afternoon,Cognitive,86.9
7.9,31.7,,18.2,374.7,3.1,4.8,27.9,Intermediate,Morning,Creative,73.7
18.1,24.2,66.5,13.4,332.6,7.7,8.0,30.8,Beginner,Afternoon,Cognitive,70.7
14.9,25.3,58.0,19.6,363.6,4.9,6.2,94.9,Expert,Afternoon,Analytical,82.2
15.2,32.4,73.7,12.5,296.8,6.1,10.8,116.0,Beginner,Evening,Analytical,78.7
11.1,43.0,73.2,15.6,327.3,2.9,6.3,204.7,Intermediate,Afternoon,Creative,79.6
,24.5,55.9,15.3,329.5,3.6,8.0,38.6,Intermediate,Afternoon,Analytical,84.2
